0	一月份跟二月份肯定有一个月份有.	肯定有一个月份有	0
1	一月份跟二月份肯定有一个月份有.	一月份有	1
2	一月份跟二月份肯定有一个月份有.	一月二月都没有	2
3	一点来钟时,张永红却来了	一点多钟,张永红来了	0
4	不讲社会效果,信口开河,对任何事情都随意发议论,甚至信谣传谣,以讹传讹,那是会涣散队伍、贻误事业的	以讹传讹是有害的	0
5	不讲社会效果,信口开河,对任何事情都随意发议论,甚至信谣传谣,以讹传讹,那是会涣散队伍、贻误事业的	以讹传讹会被处罚	1
6	不讲社会效果,信口开河,对任何事情都随意发议论,甚至信谣传谣,以讹传讹,那是会涣散队伍、贻误事业的	信口开河不会贻误事业	2
7	严师母又哼了一声:你保证你没有别的心,却不能保证旁人没有	你保证过你没有别的心	0
8	严师母又哼了一声:你保证你没有别的心,却不能保证旁人没有	旁人有别的心	1
9	严师母又哼了一声:你保证你没有别的心,却不能保证旁人没有	你一定能够保证旁人没有别的心	2
10	中国人民勤劳智慧,具有无限的创新创造潜能,只要充分释放出来,中国的发展就一定会有更为广阔空间	中国人民的创造潜能完全没有被释放出来	1
11	中国人民勤劳智慧,具有无限的创新创造潜能,只要充分释放出来,中国的发展就一定会有更为广阔空间	中国人民没有创造潜能	2
12	事实表明,美国侵犯别国国权威性,遑论侵犯人权了	美国侵犯了别国国权威性	0
13	事实表明,美国侵犯别国国权威性,遑论侵犯人权了	美国为了维护世界和平而侵犯他国国权威性	1
14	他以身殉职,终年59岁	他已经去世了	0
15	他以身殉职,终年59岁	他是在今年去世的	1
16	他以身殉职,终年59岁	他活到了70岁	2
17	他哥,他哥又有一个孩子啊.	他哥至少有一个孩子	0
18	他哥,他哥又有一个孩子啊.	他有一个孩子	1
19	他哥,他哥又有一个孩子啊.	他没有哥哥	2
20	他的民意率支持率很低,低到好像悬崖一样,跟蔡英文一样嘛,这样掉下来嘛	他的民意支持率很低,蔡英文的也很低	0
21	他的民意率支持率很低,低到好像悬崖一样,跟蔡英文一样嘛,这样掉下来嘛	他的民意支持率比蔡英文低	1
22	他的民意率支持率很低,低到好像悬崖一样,跟蔡英文一样嘛,这样掉下来嘛	他的民意支持率非常高,一直在上升	2
23	但全院医生、护士最先挖掘的不是自己的东西,而是医院的器材和药品	在医生护士的挖掘顺序中,医院器材先于自己的物品	0
24	但全院医生、护士最先挖掘的不是自己的东西,而是医院的器材和药品	医生和护士从来不挖掘医院的器材	2
25	但是你要是这么写出来,永远就可以炒来炒去	你这样写就没法炒来炒去了	2
26	住房,作为有偿使用的商品,就会用经济杠杆,为住房供求、住房分配,建立起一种多住房,多负担的制约机制	住房是一种商品	0
27	住房,作为有偿使用的商品,就会用经济杠杆,为住房供求、住房分配,建立起一种多住房,多负担的制约机制	住房的调控很难	1
28	住房,作为有偿使用的商品,就会用经济杠杆,为住房供求、住房分配,建立起一种多住房,多负担的制约机制	住房是免费的	2
29	共青团员骆五一在地震中失去了儿子	骆五一是共产党员	0
30	共青团员骆五一在地震中失去了儿子	骆五一因为地震,一个孩子也没有了	1
31	到1991年末,冀东油田将建成年产100万吨原油生产能力的全部配套工程,可产油60至80万吨	冀东油田到1992年末,将能实现可产油60至80万吨	0
32	到1991年末,冀东油田将建成年产100万吨原油生产能力的全部配套工程,可产油60至80万吨	冀东油田是国家重点工程	1
33	只要外国人看中,你就得搬.	外国人地位比较高	1
34	只要外国人看中,你就得搬.	即使外国人看中,也不用搬	2
35	台钟滴滴答答走时声中,流言一点一点在滋生	流言逐渐滋生	0
